Symbol	Test	Control
p_44740_2	"gastric myofibroblasts, Adjacent tissue associated, non-regulated exocytosis in response to acute stimulation with IGF"	"gastric myofibroblasts, Adjacent tissue, regulated exocytosis in response to acute stimulation with IGF"
p_44740_3	"gastric myofibroblasts, pernicious anaemia patient, non-regulated exocytosis in response to acute stimulation with IGF"	"gastric myofibroblasts, pernicious anaemia patient, regulated exocytosis in response to acute stimulation with IGF"
p_44841_1	"Glioblastoma multiforme cells, differentiation, 4 days"	"Glioblastoma multiforme cells, neurosphere, 4days"
p_44857_1	"AML xenografts, DAC treated"	"AML xenografts, control"
p_44857_2	"AML xenografts, Ara-C treated"	"AML xenografts, control"
p_44857_3	"AML xenografts, Ara-C, DAC treated"	"AML xenografts, control"
p_4527_1	"TH cells, UBD-transformed"	"TH cells, control vector"
p_4536_2	"NBE-cultured GBMs, passage 8; brain cancer"	"serum-cultured GBMs, passage 8"
p_4536_3	"NBE-cultured GBMs, passage 13; brain cancer"	"serum-cultured GBMs, passage 13"
p_4536_4	"NBE-cultured GBMs, passage 20; brain cancer"	"serum-cultured GBMs, passage 20"
p_4536_5	"NBE-cultured GBMs, passage 35; brain cancer"	"serum-cultured GBMs, passage 35"
p_4567_1	"human pulmonary artery endothelial cell,  Ultrafine particle treated, 100ug/ml"	"human pulmonary artery endothelial cell, control"
p_4600_1	"SH-SY5Y cell, undifferentiated, PMA treated"	"SH-SY5Y cell, undifferentiated, control"
p_4600_2	"SH-SY5Y cell, differentiated, MeCP2 treated"	"SH-SY5Y cell, differentiated, control"
p_4600_3	48 h differentiated and Control decoy transfected cells; treated	Undifferentiated SH-SY5Y cells
p_4737_1	"HEK293 cells, HCaRG overexpression"	HEK293 cells
p_4757_1	"Brain, entorhinal cortex, tangle"	"Brain, entorhinal cortex, normal"
p_4773_1	"SK-N-MC neuroblastoma cells, rotenone, 1 week"	"SK-N-MC neuroblastoma cells, control, 1 week"
p_4773_2	"SK-N-MC neuroblastoma cells, rotenone, 2 week"	"SK-N-MC neuroblastoma cells, control, 2 week"
p_4773_3	"SK-N-MC neuroblastoma cells, rotenone, 4 week"	"SK-N-MC neuroblastoma cells, control, 4 week"
p_4780_1	"Meningioma, Grade2"	"Meningioma, Grade1"
p_4883_1	"microphage, Simvastatin treated, 12h"	"microphage, control"
p_4883_2	"microphage, Simvastatin treated, 24h"	"microphage, control"
p_4888_1	"endometrium, ESE; tissue"	"endometrium, PE"
p_4888_2	"endometrium, MSE; tissue"	"endometrium, PE"
p_4888_3	"endometrium, LSE; tissue"	"endometrium, PE"
p_4984_1	"monocyte derived dendritic cells(MDDC), LPS matured MDDCs"	"monocyte derived dendritic cells, vehicle treated"
p_4984_2	"monocyte derived dendritic cells(MDDC), galectin-1 matured matured MDDCs"	"monocyte derived dendritic cells, vehicle treated"
p_5040_1	"GM15850 patient cells, untreated"	"GM15851 control cells, untreated, normal control"
p_5040_2	"GM15850 patients cells, FA1 treated, 1uM."	"GM15851 control cells, FA1 treated, 1uM."
p_5040_3	"GM15850 patients cells, FA1 treated, 2uM."	"GM15851 control cells, FA1 treated, 2uM."
p_5040_4	"GM15850 patients cells, FA2 treated, 2uM."	"GM15851 control cells, treated with FA2 at 2uM."
p_5040_5	patient cells treated with FA1 at 2uM	patient cells untreated
p_5040_6	patient cells treated with FA2 at 2uM	patient cells untreated
p_5058_1	"small airways, smoker; tissue"	"small airways, non-smoker"
p_5058_2	"small airways, chronic obstructive pulmonary disease (COPD); tissue"	"small airways, non-smoker"
p_5109_1	"Human muscle, vastus laterlis, Time of Surgery, Post"	"Human muscle, vastus laterlis, Time of Surgery, Pre"
p_5110_1	"Human skeletal muscle, limb immobilization, 48h"	"Human skeletal muscle, control"
p_5116_1	trMCF	"MCF-10F, control"
p_5116_2	bcMCF	"MCF-10F, control"
p_5116_3	caMCF	"MCF-10F, control"
p_5145_1	"human bronchial smooth muscle cell, Vitamin D treated, 100nM, 24h"	"human bronchial smooth muscle cell, vehicle, 24h"
p_5231_1	"Mammary gland, IGF1R-overexpressed"	"Mammary gland, control"
p_5231_2	"Mammary gland, LPS-treated"	"Mammary gland, control"
p_5231_3	"Mammary gland, 12G FEZL overexpressed"	"Mammary gland, control"
p_5264_2	"Bronchial epithelial cells, air-liquid interface, day 2"	"Bronchial epithelial cells, air-liquid interface, day 0"
p_5264_4	"Bronchial epithelial cells, air-liquid interface, day 8"	"Bronchial epithelial cells, air-liquid interface, day 0"
p_5264_6	"Bronchial epithelial cells, air-liquid interface, day 14"	"Bronchial epithelial cells, air-liquid interface, day 0"
p_5264_7	"Bronchial epithelial cells, air-liquid interface, day 21"	"Bronchial epithelial cells, air-liquid interface, day 0"
p_5281_1	"Entorhinal Cortex, Alzheimer disease; brain tissue"	"Entorhinal Cortex, control"
p_5281_2	"Hippocampus, Alzheimer disease; brain tissue"	"Hippocampus, control"
p_5281_3	"Medial Temporal Gyrus, Alzheimer disease; brain tissue"	"Medial Temporal Gyrus, control"
p_5281_4	"Posterior Singulate, Alzheimer disease; brain tissue"	"Posterior Singulate, control"
p_5281_5	"Superior Frontal Gyrus, Alzheimer disease; brain tissue"	"Superior Frontal Gyrus, control"
p_5281_6	"Primary Visual Cortex, Alzheimer disease; brain tissue"	"Primary Visual Cortex, control"
p_5372_1	"airway epithelial cell, non-smoker, after airway brushing, day 7"	"airway epithelial cell, non-smoker, before airway brushing"
p_5372_2	"airway epithelial cell, non-smoker, after airway brushing, day 14"	"airway epithelial cell, non-smoker, before airway brushing"
p_5372_3	"airway epithelial cell, smoker, after airway brushing, day 7"	"airway epithelial cell, smoker, before airway brushing"
p_5372_4	"airway epithelial cell, smoker, after airway brushing, day 14"	"airway epithelial cell, smoker, before airway brushing"
p_5486_3	LS180_Em; treated	LS180_Con
p_5486_4	SW480_Caff+Act; treated	SW480_Con
p_5486_5	SW480_Caff+Act/Caff; treated	SW480_Con
p_5486_6	SW480_Em; treated	SW480_Con
p_5547_1	infected_skin_biopsy; treated	unifected_Skin_biopsy
p_5547_2	infected_DC; treated	uninfected_DC
p_5563_1	vulva biopsy of vulvar intraepithelial neoplasia; tissue	vulva biopsy of normal tissue
p_5579_1	"Lymphatic endothelial cells, hypoxia"	"Lymphatic endothelial cells, normoxia"
p_5579_2	"Lymphatic endothelial cells, conditioned medium from NSCLC hypoxia, 24 h"	"Lymphatic endothelial cells, conditioned medium from NSCLC, 24 h"
p_5679_1	"Human Dendrite cell, RSG treated"	"Human Dendrite cell, control"
p_5679_2	"Human Dendrite cell, AM treated"	"Human Dendrite cell, control"
p_5679_3	"Human Dendrite cell, RSG, AGN treated"	"Human Dendrite cell, control"
p_5741_1	"APRE-19 cells, LDL treated"	"APRE-19 cells, untreated"
p_5741_2	"APRE-19 cells, OX-LDL treated"	"APRE-19 cells, untreated"
p_5764_1	tumor_ductal; breast cancer	normal_ductal
p_5764_2	tumor_lobular; breast cancer	normal_lobular
p_5790_3	"Blood cell, LCMV-WE infected monkey, 3d"	"Blood cell, not infected, 0d"
p_5790_6	"Blood cell, LCMV-WE infected monkey, 7d"	"Blood cell, not infected, 0d"
p_5790_7	"Blood cell, LCMV-Armstrong infected monkey, 3d"	"Blood cell, not infected, 0d"
p_5790_9	"Blood cell, LCMV-Armstrong infected monkey, 7d"	"Blood cell, not infected, 0d"
p_5809_1	Endometrium in trophoblast conditioned medium for 3 hours; treated; time course	Endometrium in control conditioned medium for 3 hours
p_5809_2	Endometrium in trophoblast conditioned medium for 12 hours; treated; time course	Endometrium in control conditioned medium for 12 hours
p_5816_1	"H2347 cell, 5-AZA treated, 100nM"	"H2347 cell, DMSO control"
p_5816_10	"A549 cell, 5-AZA treated, 1000nM"	"A549 cell, DMSO control"
p_5816_11	"HBEC2 cell, 5-AZA treated, 100nM"	"HBEC2 cell, DMSO control"
p_5816_12	"HBEC2 cell, 5-AZA treated, 1000nM"	"HBEC2 cell, DMSO control"
p_5816_13	"HBEC3 cell, 5-AZA treated, 100nM"	"HBEC3 cell, DMSO control"
p_5816_14	"HBEC3 cell, 5-AZA treated, 1000nM"	"HBEC3 cell, DMSO control"
p_5816_15	"HBEC4 cell, 5-AZA treated, 100nM"	"HBEC4 cell, DMSO control"
p_5816_16	"HBEC4 cell, 5-AZA treated, 1000nM"	"HBEC4 cell, DMSO control"
p_5816_17	"H157 cell, 5-AZA treated, 100nM"	"H157 cell, DMSO control"
p_5816_18	"H157 cell, 5-AZA treated, 1000nM"	"H157 cell, DMSO control"
p_5816_19	"H1819 cell, 5-AZA treated, 100nM"	"H1819 cell, DMSO control"
p_5816_2	"H2347 cell, 5-AZA treated, 1000nM"	"H2347 cell, DMSO control"
p_5816_20	"H1819 cell, 5-AZA treated, 1000nM"	"H1819 cell, DMSO control"
p_5816_21	"H526 cell, 5-AZA treated, 1000nM"	"H526 cell, DMSO control"
p_5816_22	"MCF7 cell, 5-AZA treated, 1000nM"	"MCF7 cell, DMSO control"
p_5816_23	"HCT116 cell, 5-AZA treated, 1000nM"	"HCT116 cell, DMSO control"
p_5816_3	"H1993 cell, 5-AZA treated, 100nM"	"H1993 cell, DMSO control"
p_5816_4	"H1993 cell, 5-AZA treated, 1000nM"	"H1993 cell, DMSO control"
p_5816_5	"H1299 cell, 5-AZA treated, 100nM"	"H1299 cell, DMSO control"
p_5816_6	"H1299 cell, 5-AZA treated, 1000nM"	"H1299 cell, DMSO control"
p_5816_7	"H460 cell, 5-AZA treated, 100nM"	"H460 cell, DMSO control"
p_5816_8	"H460 cell, 5-AZA treated, 1000nM"	"H460 cell, DMSO control"
p_5816_9	"A549 cell, 5-AZA treated, 100nM"	"A549 cell, DMSO control"
p_5823_1	"BT-474 cells, RNAi targeting c-MYC"	"BT-474 cells, control"
p_5823_2	"MCF-7 cells, RNAi targeting c-MYC"	"MCF-7 cells, control"
p_5823_3	"MDA-MB-231 cells, RNAi targeting c-MYC"	"MDA-MB-231 cells, control"
p_5823_4	"HeLa cells, RNAi targeting c-MYC"	"HeLa cells, control"
p_5850_1	"MII arrested oocyte, PCOS women"	"MII arrested oocyte, normal women"
p_5868_1	"Tumor driven by SV7tert AML cells, oestrogen-treated"	"Tumor driven by SV7tert AML cells, control"
p_5968_1	"HepG2 cells, PGC-1 mutant"	"HepG2 cells, BGAL"
p_5968_2	"HepG2 cells, PGC-1 mutant"	"HepG2 cells, L2L3 mutant"
p_5968_3	"HepG2 cells, PGC-1 mutant"	"HepG2 cells, wt PGC-1"
p_5993_1	"ME180 cells, shRNA targeting p63, p63-depleted"	"ME180 cells, empty vector"
p_6004_1	Thyroid cancer center	Normal thyroid
p_6004_2	Thyroid cancer invasive area	Normal thyroid
p_6013_1	"A549 cell, asbestos exposed, 1h"	"A549 cell, control, 1h"
p_6013_10	"Met5A cell, asbestos exposed, 1h"	"Met5A cell, control, 1h"
p_6013_11	"Met5A cell, asbestos exposed, 48h"	"Met5A cell, control, 48h"
p_6013_4	"A549 cell, asbestos exposed, 2d"	"A549 cell, control, 2d"
p_6013_6	"Beas2B cell, asbestos exposed, 1h"	"Beas2B cell, control, 1h"
p_6013_9	"Beas2B cell, asbestos exposed, 2d"	"Beas2B cell, control, 2d"
p_6021_1	"HeLa cell, immunoprecipitated cDNA extract from immunoprecipitation experiment (PTB)"	"HeLa cell, total cDNA extract from immunoprecipitation experiment (PTB)"
p_6022_1	"HeLa cell, immunoprecipitated cDNA extract from immunoprecipitation experiment (U2AF65)"	"HeLa cell, total cDNA extract from immunoprecipitation experiment (U2AF65)"
p_6034_1	"ATL cell line(TaY), Bortezomib treated, 5nM, 24h"	"ATL cell line(TaY), mock treated"
p_6034_2	"ATL cell line(TaY), Bortezomib treated, 15nM, 24h"	"ATL cell line(TaY), mock treated"
p_6034_3	"ATL cell line(MT-2), Bortezomib treated, 5nM, 24h"	"ATL cell line(MT-2), mock treated"
p_6034_4	"ATL cell line(MT-4), Bortezomib treated, 5nM, 24h"	"ATL cell line(MT-4), mock treated"
p_6043_1	HMEC/hTERT/eIF4E/polysomal	HMEC/hTERT/polysomal
p_6043_2	HMEC/hTERT/eIF4E/Total	HMEC/hTERT/Total
p_6054_1	"monocyte, heterozygote FH"	"monocyte, normal people"
p_6054_2	"monocyte, homozygote FH"	"monocyte, normal people"
p_6075_1	"HOK/BM-1 cell, E6 treated"	"HOK/BM-1 cell, LXSN treated"
p_6075_2	"HOK/BM-1 cell, E6(Delta)118-122 treated"	"HOK/BM-1 cell, LXSN treated"
p_6088_1	"T cell, heterozygote FH"	"T cell, normal people"
p_6088_2	"T cell, homozygote FH"	"T cell, normal people"
p_6090_1	"primary dendritic cells,stimulated using plate bound anti-DC-SIGN antibody, 2h"	"primary dendritic cells, unstimulated"
p_6092_1	"HUVEC, stimulated with Borrelia burgdorferi"	"HUVEC, unstimulated"
p_6092_2	"HUVEC, stimulated with IFN-g"	"HUVEC, unstimulated"
p_6092_3	"HUVEC, stimulated with Borrelia burgdorferi+IFN-g"	"HUVEC, unstimulated"
p_6140_1	"A2780 ovarian carcinoma cell line, exposed to cell cycle inhibitor, 6h"	"A2780 cells, untreated, 6h"
p_6207_1	"HepG2 cell line, miR-124 transfection, 4h"	"HepG2 cell line, negativecontrol transfection, 4h"
p_6207_2	"HepG2 cell line, miR-124 transfection, 8h"	"HepG2 cell line, negativecontrol transfection, 8h"
p_6207_3	"HepG2 cell line, miR-124 transfection, 16h"	"HepG2 cell line, negativecontrol transfection, 16h"
p_6207_4	"HepG2 cell line, miR-124 transfection, 24h"	"HepG2 cell line, negativecontrol transfection, 24h"
p_6207_5	"HepG2 cell line, miR-124 transfection, 32h"	"HepG2 cell line, negativecontrol transfection, 32h"
p_6207_6	"HepG2 cell line, miR-124 transfection, 72h"	"HepG2 cell line, negativecontrol transfection, 72h"
p_6207_7	"HepG2 cell line, miR-124 transfection, 120h"	"HepG2 cell line, negativecontrol secondtransfection, 120h"
p_6222_1	"Huh4, hepatocellular carcinoma line"	"human liver tissue, normal"
p_6222_2	"hepatocellular carcinoma line, stage 1"	"human liver tissue, normal"
p_6222_3	"hepatocellular carcinoma line, stage 3"	"human liver tissue, normal"
p_6233_1	"EC109 cell line, ezrin-knockdown"	"EC109 cell line, control"
p_6241_1	"HUVEC, SAA treated, 20ug/ml, 4h"	"HUVEC, no stimulation"
p_6241_2	"HUVEC, SAA treated, 20ug/ml, 24h"	"HUVEC, no stimulation"
p_6241_3	"HUVEC, SAA treated, 20ug/ml, 48h"	"HUVEC, no stimulation"
p_6257_1	"Human lymphatic endothelial cells, TNFa treatment"	"Human lymphatic endothelial cells, without TNFa, control"
p_6276_1	"HEK289 cells, hIMP1 wt over-expression"	"HEK289 cells, empty vector"
p_6276_2	"HEK289 cells, hIMP Dmut expression"	"HEK289 cells, empty vector"
p_6281_1	"Skin biopsy, upper nates, nickel allergic, no nickel exposure"	"Skin biopsy, upper nates, non-nickel allergic, no nickel exposure"
p_6281_2	"Skin biopsy, upper nates, nickel allergic, exposed to 5% nickel sulfate, 7h"	"Skin biopsy, upper nates, non-nickel allergic, exposed to 5% nickel sulfate, 7h"
p_6281_3	"Skin biopsy, upper nates, nickel allergic, exposed to 5% nickel sulfate, 48h"	"Skin biopsy, upper nates, non-nickel allergic, exposed to 5% nickel sulfate, 48h"
p_6281_4	"Skin biopsy, upper nates, nickel allergic, exposed to 5% nickel sulfate, 96h"	"Skin biopsy, upper nates, non-nickel allergic, exposed to 5% nickel sulfate, 96h"
p_6283_1	"amniocytes, trisomy 21"	"amniocytes, normal karyotype"
p_6283_2	"amniocytes, trisomy 13"	"amniocytes, normal karyotype"
p_6283_3	"chorion villus cells, trisomy 21"	"chorion villus cells, normal karyotype"
p_6283_4	"chorion villus cells, trisomy 18"	"chorion villus cells, normal karyotype"
p_6338_1	Peripheral T-cell lymphoma unspecified (PTCL/U)	normal T cells
p_6338_2	Angioimmunoblastic T-cell Lymphoma (AITL)	normal T cells
p_6338_3	anaplastic large cell lymphoma (ALCL)	normal T cells
p_6351_1	"peripheral blood, Acromegaly case"	"peripheral blood, healthy normal"
p_6364_1	Proliferative endometrium from patient with endometriosis; tissue	Proliferative endometrium from normal patient
p_6364_2	Early secretory endometrium from patient with endometriosis; tissue	Early secretory endometrium from normal patient
p_6364_3	Mid secretory endometrium from patient with endometriosis; tissue	Mid secretory endometrium from normal patient
p_6369_1	"prostate cancer, metastatic"	"Human Prostate Cancer, Non-metastatic, control"
p_6400_1	"A549 cell, Actinomycin D treated"	"A549 cell, Mannitol treated, control"
p_6400_2	"A549 cell, 1.25uM sapphyrin PCI-2050 treated"	"A549 cell, Mannitol treated, control"
p_6400_3	"A549 cell, 2.5uM sapphyrin PCI-2050 treated"	"A549 cell, Mannitol treated, control"
p_6406_1	"Human pancreatic xenograft, siRNA treatment"	"Human pancreatic xenograft, saline treatment, control"
p_6406_2	"Human pancreatic xenograft, siLNA treatment"	"Human pancreatic xenograft, saline treatment, control"
p_6451_1	"IMR-32 cell, DPP3 overexpressed"	"IMR-32 cell, control"
p_6451_2	"IMR-32 cell, SQSTM1 overexpressed"	"IMR-32 cell, control"
p_6460_1	"hMSC, bFGF treated"	"hMSC, control"
p_6460_2	"hMSC, TGFbeta treated"	"hMSC, control"
p_6460_3	"hMSC, PDGF-BB treated"	"hMSC, control"
p_6465_1	"HCC cells, Xenograft"	"HCC cells, Primary"
p_6465_2	"HCC cells, Xenograft, bevacizumab treated"	"HCC cells, Xenograft, control"
p_6465_3	"HCC cells, Xenograft, rapamycin treated"	"HCC cells, Xenograft, control"
p_6465_4	"HCC cells, Xenograft, bevacizumab+rapamycin treated"	"HCC cells, Xenograft, control"
p_6489_1	"HMVEC-L, HHV8 infected"	"HMVEC-L, Mock infected"
p_6495_1	"MOLT4 cell line, treated with GSI"	"MOLT4 cell line, untreated"
p_6518_1	"Caco-2 cell, trans-10+cis-12 CLA treated."	"Caco-2 cell, linoleic acid"
p_6518_2	"Caco-2 cell, trans-11+cis-9 CLA treated."	"Caco-2 cell, linoleic acid"
p_6519_1	"precentral gyrus brain, 1¡¿ LCPUFA (0.33%DHA-0.67%ARA)"	"precentral gyrus brain, control"
p_6519_2	"precentral gyrus brain, 3X LCPUFA (1.00%DHA-0.67%ARA)"	"precentral gyrus brain, control"
p_6521_14	"MCF-7 cells, U0126 treated, 90min"	"MCF-7 cells, control"
p_6521_16	"MCF-7 cells, AG1478 treated, 10min"	"MCF-7 cells, control"
p_6521_2	"MCF-7 cells, HRG treated, 10min"	"MCF-7 cells, control"
p_6521_21	"MCF-7 cells, AG1478 treated, 90min"	"MCF-7 cells, control"
p_6521_23	"MCF-7 cells, HRG+AG1478 treated, 10min"	"MCF-7 cells, control"
p_6521_28	"MCF-7 cells, HRG+AG1478 treated, 90min"	"MCF-7 cells, control"
p_6521_7	"MCF-7 cells, HRG treated, 90min"	"MCF-7 cells, control"
p_6521_9	"MCF-7 cells, U0126 treated, 10min"	"MCF-7 cells, control"
p_6548_1	"HMECs , E2 treated"	"HMECs , Fulvestrant treated"
p_6551_1	"Intracranial artery, aneurysm"	"Intracranial artery, non-aneurysm"
p_6561_1	"H14 cell, hsr containing"	"H14 cell, not hsr containing"
p_6566_1	"dendritic cell, high DC strength"	"dendritic cell, low DC strength"
p_6573_1	"Decidua, Preeclampsia"	"decidua, control"
p_6573_2	"Placenta, Preeclampsia"	"Placenta, Control"
p_6573_3	"Fat, Preeclampsia"	"Fat, Control"
p_6575_1	"whole blood, Autism spectrum disorder"	"whole blood, General population"
p_6575_2	"whole blood, Autism spectrum disorder"	"whole blood, Mental retardation or developmental delay"
p_6575_3	Blood of mental retardation or developmental delay; tissue	Blood of general population
p_6653_1	"IOSE cells, TGFb treated ,3hr"	"IOSE cells, TGFb treated ,0hr"
p_6653_2	"IOSE cells, TGFb treated ,6hr"	"IOSE cells, TGFb treated ,0hr"
p_6653_3	"IOSE cells, TGFb treated ,12hr"	"IOSE cells, TGFb treated ,0hr"
p_6679_1	"HeLa cell, siRNA Stau1 treated"	"HeLa cell, control"
p_6695_1	"H157 cell line, low dose (5-aza-2'deoxycytidine) treatment, 100nM, 6 days"	"H157 cell line, control"
p_6695_2	"H157 cell line, high dose (5-aza-2'deoxycytidine) treatment, 1000nM, 6 days"	"H157 cell line, control"
p_6695_3	"H1819 cell line, low dose (5-aza-2'deoxycytidine) treatment, 100nM, 6 days"	"H1819 cell line, control"
p_6695_4	"H1819 cell line, high dose (5-aza-2'deoxycytidine) treatment, 1000nM, 6 days"	"H1819 cell line, control"
p_6728_1	"Granta-519 cell line, emetine treated"	"Granta-519 cell line, mock treated"
p_6728_10	"JEKO-1 cell line, treated with emetine followed by actinomycin D treatment"	"JEKO-1 cell line, mock treated"
p_6728_2	"Granta- 519 cell line, treated with emetine followed by actinomycin D treatment"	"Granta-519 cell line, mock treated"
p_6728_3	"REC-1 cell line, emetine treated"	"REC-1 cell line, mock treated"
p_6728_4	"REC-1 cell line, treated with emetine followed by actinomycin D treatment"	"REC-1 cell line, mock treated"
p_6728_5	"UPN-1 cell line, emetine treated"	"UPN-1 cell line, mock treated"
p_6728_6	"UPN-1 cell line, treated with emetine followed by actinomycin D treatment"	"UPN-1 cell line, mock treated"
p_6728_7	"HBL-2 cell line, emetine treated"	"HBL-2 cell line, mock treated"
p_6728_8	"HBL-2 cell line, treated with emetine followed by actinomycin D treatment"	"HBL-2 cell line, mock treated"
p_6728_9	"JEKO-1 cell line, emetine treated"	"JEKO-1 cell line, mock treated"
p_6743_1	"peripheral naive T cells, Retinoid Acid stimulated"	"peripheral naive T cells, unstimulated"
p_6743_2	"peripheral naive T cells, IL-12 stimulated"	"peripheral naive T cells, unstimulated"
p_6743_3	"peripheral naive T cells, 1,25(OH)2 vitamin D3 stimulated"	"peripheral naive T cells, unstimulated"
p_6743_4	"peripheral naive T cells, 1,25(OH)2 vitamin D3 + IL-12 stimulated CCR10-positive CLA-positive T cells"	"peripheral naive T cells, unstimulated"
p_6743_5	"peripheral naive T cells, 1,25(OH)2 vitamin D3 + IL-12 stimulated CCR10-negative CLA-positive T cells"	"peripheral naive T cells, unstimulated"
p_6751_1	"PBMC, periodontal therapy, 1w"	"PBMC, periodontal therapy, 0w"
p_6751_2	"PBMC, periodontal therapy, 6w"	"PBMC, periodontal therapy, 0w"
p_6751_3	"PBMC, periodontal therapy, 10w"	"PBMC, periodontal therapy, 0w"
p_6764_1	cirrhotic liver tissue	normal liver tissue
p_6764_2	low-grade dysplastic liver tissue	normal liver tissue
p_6764_3	high-grade dysplastic liver tissue	normal liver tissue
p_6764_4	very early HCC (hepatocellular carcinoma)	normal liver tissue
p_6764_5	early HCC (hepatocellular carcinoma)	normal liver tissue
p_6764_6	advanced HCC (hepatocellular carcinoma)	normal liver tissue
p_6764_7	very advanced HCC (hepatocellular carcinoma)	normal liver tissue
p_6764_8	very advanced HCC; liver cancer	Normal Liver Tissue
p_6767_1	"HeLa cell, sidroshaB transfected"	"HeLa cell, siGFP transfected, control"
p_6767_2	"HeLa cell, sidroshaC transfected"	"HeLa cell, siGFP transfected, control"
p_6791_1	Cervical cancer	normal cervix
p_6791_2	head-neck cancer	head-neck normal
p_6791_3	HPV+ cervical cancer	HPV- cervical cancer
p_6791_4	HPV+ head-neck cancer	HPV- head-neck cancer
p_6798_1	"Vastus lateralis muscle, polycystic ovary syndrome (PCOS)"	"Vastus lateralis muscle, normal"
p_6800_1	"MCF-7, Cimicifuga treated, 24h"	"MCF-7 cell, DMSO, control, 24h"
p_6800_2	"MCF-7, Estradiol treated, 24h"	"MCF-7 cell, DMSO, control, 24h"
p_6800_3	"MCF-7, Tamoxifen treated, 24h"	"MCF-7 cell, DMSO, control, 24h"
p_6803_1	"MCF-7 cells, 24h, Estradiol treated"	"MCF-7 cells, 24h, DMSO control"
p_6803_2	"MCF-7 cells, 24h, Leuzea treated"	"MCF-7 cells, 24h, DMSO control"
p_6803_3	"MCF-7 cells, 24h, Tamoxifen treated"	"MCF-7 cells, 24h, DMSO control"
p_6816_1	"SK-N-MC Cell Line, Human Melanotransferrin inserted"	SK-N-MC Cell Line
p_6817_1	"SK-Mel-28, Melanotransferrin siRNA inserted"	"SK-Mel-28, Scrambled Control"
p_6819_1	"HeLa, treated with siRNA specific for optineurin mRNA"	"HeLa, treated with water (mock)"
p_6833_1	"SK-Mel-28 cells, Human Melanotransferrin siRNA treatead"	"SK-Mel-28 cells, Scrambled control"
p_6833_2	"SK-Mel-28, MTF; treated"	"SK-Mel-28, control"
p_6863_1	"iDCs, hypoxia"	"iDCs, normoxia"
p_6872_1	"Sperm cell, Teratozoospemic"	"Sperm cell, Normospemic"
p_6878_2	"HepG2 cell, PCB153 treated 0.5h"	"HepG2 cell, control"
p_6878_4	"HepG2 cell, PCB153 treated 6h"	"HepG2 cell, control"
p_6878_7	"HepG2 cell, PCB77 treated 0.5h"	"HepG2 cell, control"
p_6878_8	"HepG2 cell, PCB77 treated 6h"	"HepG2 cell, control"
p_6885_1	BPLER	BPE
p_6885_2	HMLER	HME
p_6920_1	Primary T-ALL cells	"CD8 cells, from normal donor"
p_6920_2	"Human T-ALL cells, from patient propagated in NOD/SCID mice"	"CD8 cells, from normal donor"
p_6960_1	"A549 cell, Zinc treated"	"A549 cell, control"
p_6960_2	"A549 cell, PCI 5002 treated"	"A549 cell, control"
p_6960_3	"A549 cell, Zinc, PCI 5002 treated"	"A549 cell, control"
p_6962_1	"A549 cell, PCI 5002 treated"	"A549 cell, control"
p_6962_2	"A549 cell, PCI 5003 treated"	"A549 cell, control"
p_6965_1	"dendritic cells, cultivated together with Aspergillus fumigatus germ tubes, 6h"	"dendritic cells, cultivated in medium, 6h"
p_6972_1	"non-cycling plateau phase A549 lung cancer cell culture, ZnOAc2 treated"	"non-cycling plateau phase A549 lung cancer cell culture, control"
p_6972_2	"non-cycling plateau phase A549 lung cancer cell culture, PCI-5002 treated"	"non-cycling plateau phase A549 lung cancer cell culture, control"
p_6972_3	"non-cycling plateau phase A549 lung cancer cell culture, ZnOAc2+PCI-5002 treated"	"non-cycling plateau phase A549 lung cancer cell culture, control"
p_6972_4	"A549 cell, Xenograft, PCI 5002 treated"	"A549 cells, Xenograft Control"
p_6972_5	"A549 cell, Xenograft, PCI 5003 treated"	"A549 cells, Xenograft Control"
p_7011_1	"Human CD34+ cord blood cells, MLL-AF9, grown serum-free"	"Human CD34+ cord blood cells, AML1-ETO, grown serum-free"
p_7011_2	"Human CD34+ cord blood cells, MLL-AF9 , grown serum-free"	"Human CD34+ cord blood cells, CBFbeta-MYH11, grown serum-free"
p_7011_3	"Human CD34+ cord blood cells, MLL-AF9, grown with serum"	"Human CD34+ cord blood cells, AML1-ETO, grown with serum"
p_7011_4	"Human CD34+ cord blood cells, MLL-AF9 , grown serum-free"	"Human CD34+ cord blood cells, MLL-AF9, grown with serum"
p_7014_1	"Skeletal muscle, myotonic dystrophy type 1"	"Skeletal muscle, normal adult patient"
p_7014_2	"Skeletal muscle, myotonic dystrophy type 2"	"Skeletal muscle, normal adult patient"
p_7023_3	Renal Cancer Papillary Type 2A; kidney cancer	normal kidney
p_7023_4	Renal Cancer Papillary Type 2B; kidney cancer	normal kidney
p_7036_1	"Trasnsformed Lymphocytes, Bipolar Disorder Affected"	"Trasnsformed Lymphocytes, Unaffected"
p_7047_1	"HeLa cells, infected"	"HeLa cells, uninfected"
p_7117_1	"Liver sample, diet intervention group"	"Liver sample, control subject"
p_7152_1	p14ARF mutant Melanoma cell lines	p14ARF WT
p_7153_1	metastatic melanoma cell lines	"Melanoma cell line, primary nodular melanoma"
p_7158_1	Monocyte High PBM; tissue	Monocyte Low PBM
p_7161_1	"HCT116 cell, TOP1 silenced"	"HCT116 cell, Control"
p_7161_2	"MCF7 cell, TOP1 silenced"	"MCF7 cell, Control"
